monthly_income,requested_amount,term_in_months,loan_status,age,monthly_debt,Approval_Probability,AI_Score,Risk_Level
8000.0,29900,12,1,61,1680.0,1.0,850,LOW
3416.666666666667,12200,8,0,57,1981.6666666666665,0.0,300,HIGH
7583.333333333334,29700,20,1,28,834.1666666666667,1.0,850,LOW
6833.333333333334,30700,8,0,47,3075.0,0.03,316,HIGH
8166.666666666666,24200,20,0,30,3511.666666666666,0.04,322,HIGH
4000.0,13500,10,1,39,960.0,1.0,850,LOW
7250.0,33000,4,1,58,2755.0,0.88,784,LOW
4750.0,15000,20,0,51,2422.5,0.02,311,HIGH
666.6666666666667,2200,20,1,32,93.33333333333336,0.96,828,LOW
916.6666666666667,4300,10,0,22,412.5,0.18,399,HIGH
2416.6666666666665,11200,2,0,21,1159.9999999999998,0.14,377,HIGH
5583.333333333334,22700,18,1,54,949.1666666666669,1.0,850,LOW
4166.666666666667,11600,16,0,40,2458.3333333333335,0.02,311,HIGH
7583.333333333334,31500,14,1,54,1365.0,1.0,850,LOW
1583.3333333333335,7400,6,0,41,855.0000000000001,0.04,322,HIGH
3916.666666666667,10700,10,1,24,587.5,1.0,850,LOW
416.66666666666663,1600,4,0,35,233.33333333333337,0.07,338,HIGH
2416.6666666666665,9400,14,1,41,241.66666666666669,0.99,844,LOW
2250.0,10300,10,1,51,652.4999999999999,0.98,839,LOW
5250.0,14600,12,1,40,1837.5,0.92,806,LOW
4166.666666666667,19400,12,1,49,833.3333333333335,0.99,844,LOW
4833.333333333333,14000,16,0,34,2368.333333333333,0.01,305,HIGH
5416.666666666666,25700,18,1,60,1354.1666666666665,0.99,844,LOW
416.66666666666663,1400,2,0,49,179.16666666666663,0.17,393,HIGH
4083.333333333333,9800,16,0,28,2449.9999999999995,0.02,311,HIGH
2583.3333333333335,9500,20,1,49,516.6666666666667,1.0,850,LOW
6833.333333333334,28100,12,1,64,1845.0000000000002,1.0,850,LOW
2000.0,5600,4,0,25,1200.0,0.01,305,HIGH
5833.333333333334,24000,6,1,55,1691.6666666666665,0.99,844,LOW
7500.0,31500,10,1,41,1500.0,1.0,850,LOW
8166.666666666666,25300,12,0,30,3919.9999999999995,0.03,316,HIGH
4750.0,12000,6,1,28,950.0,1.0,850,LOW
666.6666666666667,1600,10,0,27,333.33333333333337,0.09,349,HIGH
7000.0,22000,2,1,30,2590.0,0.84,762,LOW
4083.333333333333,11900,8,1,40,449.16666666666663,1.0,850,LOW
1416.6666666666665,3400,8,1,44,269.16666666666663,1.0,850,LOW
1333.3333333333335,6200,18,0,30,693.3333333333335,0.11,360,HIGH
